year,GDP Growth (%),Inflation (%),Unemployment Rate (%),Trade (% of GDP),Government Debt (% of GDP),country
2016,5.03306918280177,3.52580452815451,4.301,37.4213418023318,,Indonesia
2015,4.87632230022123,6.36312061196646,4.514,41.9376402415294,,Indonesia
2014,5.006668425755,6.39492882396559,4.049,48.0801755855227,,Indonesia
2013,5.5572636889101,6.41249457900391,4.336,48.6373726752893,,Indonesia
2012,6.03005065305615,4.2795142691943,4.468,49.5828982992627,,Indonesia
2011,6.16978420771008,5.35604849112582,5.153,50.1800131841104,,Indonesia
2010,6.22385418062366,5.13420639015885,5.614,46.7012738758737,,Indonesia
2009,4.62887118256153,4.38641311792074,6.106,45.5121213687054,29.997306381567,Indonesia
2008,6.01370360009123,10.2266663272483,7.208,58.5613996312961,34.2250282105616,Indonesia
2007,6.34502222667214,6.40656087966005,8.06,54.8292499782075,,Indonesia
2006,5.50095178520348,13.108670985346,7.551,56.6571268148867,,Indonesia
2005,5.69257130383384,10.4532001873347,7.945,63.9879358688635,,Indonesia
2004,5.03087394501685,6.06406189133648,7.303,59.761294836691,,Indonesia
2003,4.78036912167654,6.75731256333564,6.657,53.6164937473016,29.7173962466428,Indonesia
2002,4.49947539085764,11.9001200338414,6.604,59.0794617663723,32.2241265309989,Indonesia
2001,3.64346644721492,11.5001160550887,6.082,69.7932075256238,,Indonesia
2000,4.9200677470169,3.68862037056682,6.077,71.4368759173731,,Indonesia
2024,1.99650173436159,1.68792112375809,3.518,54.6787052668733,,Saudi Arabia
2023,0.542592439393161,2.32708518362706,4.008,54.1690118283683,,Saudi Arabia
2022,12.0005874752929,2.47407371925372,5.589,56.8241647749332,,Saudi Arabia
2021,6.51959698325419,3.06328988941548,6.621,50.8839263398787,,Saudi Arabia
2020,-3.80478901996312,3.37234961012303,7.66,47.533159225048,,Saudi Arabia
2019,1.65158925617395,-1.19298644533328,5.636,56.7938204886513,,Saudi Arabia
2018,3.2269508901591,2.46594308994843,6.029,59.1029104697141,,Saudi Arabia
2017,1.18210705878283,-0.834845735027162,5.89,59.5319791578229,,Saudi Arabia
2016,1.70404739202878,2.05347076823965,5.6,57.9216635110364,,Saudi Arabia
2015,4.65512316652699,1.22269318552328,5.6,67.1052692300592,,Saudi Arabia
2014,4.02467158380668,2.24185348779063,5.877,78.000111117736,,Saudi Arabia
2013,2.94563789152025,3.51104209799866,5.6,80.2515014286783,,Saudi Arabia
2012,5.76157382270968,2.86627029905053,5.622,81.74067854616,,Saudi Arabia
2011,11.758820686671,5.8262163739404,5.77,84.3594342438995,,Saudi Arabia
2010,5.0395150823517,5.33941733020905,5.55,82.5496850227537,,Saudi Arabia
2009,-1.06671711240203,5.0572227614833,5.377,84.8583415624843,,Saudi Arabia
2008,6.2379875365458,9.87024816760266,5.085,96.1026308742185,,Saudi Arabia
2007,2.21365396372528,4.16782358431579,5.734,94.8633170967657,,Saudi Arabia
2006,3.31348473625901,2.20902314069647,6.254,89.9446046768984,,Saudi Arabia
2005,5.94489623934835,0.479231671630955,6.051,81.9540759410158,,Saudi Arabia
2004,8.63100545880309,0.5155078977673,5.822,75.0828366569341,,Saudi Arabia
2003,8.76873381743964,0.612195358172966,5.563,69.831170708742,,Saudi Arabia
2002,-0.688390130317757,0.247186492339686,5.265,64.5927974099254,,Saudi Arabia
2001,0.344593196175438,-1.12094804896791,4.618,63.5605836794513,,Saudi Arabia
2000,4.71813422138024,-1.12499838517645,4.57,68.1664488005167,,Saudi Arabia
2024,0.534843531905139,4.36115246518962,32.279,61.646770473025,,South Africa
2023,0.80610455095804,6.0752438457966,32.098,65.6798759740707,79.4469077095183,South Africa
2022,2.05813661692193,7.03987272546482,33.268,64.94713440234,76.205442941881,South Africa
2021,4.85864865060148,4.61874544887136,34.007,56.1647136277546,74.0826080051444,South Africa
2020,-6.1689177146757,3.23238831615113,29.217,50.7596590804177,75.7255090793216,South Africa
2019,0.25993557687633,4.10285075461156,28.468,53.8979964081406,64.5892781351104,South Africa
2018,1.55678384721676,4.50987264867388,26.906,54.4855451276341,59.1023114070608,South Africa
2017,1.15794695181735,5.18618655524149,27.035,53.5359318293741,56.2597208390879,South Africa
2016,0.664552307858116,6.60290842394872,26.536,55.8612575048782,53.7387913884354,South Africa
2015,1.32186223678229,4.51869094892506,25.149,56.7266761447156,52.6511572360833,South Africa
2014,1.41382645223793,6.13282953059149,24.89,59.4995740550593,,South Africa
2013,2.48546800826588,5.78016910069176,24.561,58.875027630051,,South Africa
2012,2.39623238465745,5.73797139141739,24.727,55.5826171933345,,South Africa
2011,3.16855627858818,5.0008533879502,24.639,54.6363504358971,,South Africa
2010,3.03973288127956,4.06749555950263,24.683,50.4060871625999,,South Africa
2009,-1.53808913525583,7.23809523809527,23.523,49.5875353278801,,South Africa
2008,3.1910438863288,9.90998456005467,22.407,65.9745237996233,,South Africa
2007,5.36047405394162,6.17781214809388,22.26,57.125139137747,,South Africa
2006,5.60380645895889,3.2439076541923,22.304,53.7681412741145,,South Africa
2005,5.27705197295467,2.06285308223427,22.472,47.4277813970329,,South Africa
2004,4.55455990721774,-0.692039437857687,22.567,45.6435752240041,,South Africa
2003,2.94907546754213,5.67942414068799,22.679,45.723862568979,,South Africa
